FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,5405,e,Dato stimato
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,1004,,
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,981,,
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,976,e,Dato stimato
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,987,,
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,981,,
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,987,e,Dato stimato
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,1991,,
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,1962,,
A,Annuale,061011,Camigliano,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,1963,e,Dato stimato
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,2882,,
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,2954,,
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,2972,e,Dato stimato
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,2718,,
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,2752,,
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,2737,e,Dato stimato
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,5600,,
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,5706,,
A,Annuale,061012,Cancello ed Arnone,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,5709,e,Dato stimato
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,4946,,
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,4946,,
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,4924,e,Dato stimato
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,5100,,
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,5083,,
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,5077,e,Dato stimato
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,10046,,
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,10029,,
A,Annuale,061013,Capodrise,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,10001,e,Dato stimato
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,693,,
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,684,,
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,665,e,Dato stimato
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,764,,
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,736,,
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,722,e,Dato stimato
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,1457,,
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,1420,,
A,Annuale,061014,Capriati a Volturno,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,1387,e,Dato stimato
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,8619,,
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,8691,,
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,8808,e,Dato stimato
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,9052,,
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,9082,,
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,9106,e,Dato stimato
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,17671,,
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,17773,,
A,Annuale,061015,Capua,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,17914,e,Dato stimato
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,3475,,
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,3463,,
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,3449,e,Dato stimato
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,3639,,
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,3614,,
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,3604,e,Dato stimato
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,7114,,
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,7077,,
A,Annuale,061016,Carinaro,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,7053,e,Dato stimato
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,3628,,
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,3591,,
A,Annuale,061017,Carinola,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,3601,e,Dato stimato
